Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,865030,-,-,-,30.45,-89.34,-6,21,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,0.6000000000000001,13,170.11,1010,13
2013,1,1,1,30,0,0,0,0.5,13,158.8,1010,13
2013,1,1,2,30,0,0,0,0.5,14,146.04,1010,14
2013,1,1,3,30,0,0,0,0.4,15,133.13,1010,14
2013,1,1,4,30,0,0,0,0.4,15,120.31,1010,15
2013,1,1,5,30,0,0,0,0.4,15,107.74000000000001,1010,15
2013,1,1,6,30,0,0,0,0.4,15,95.60000000000001,1010,15
2013,1,1,7,30,35,35,5,0.4,16,84.10000000000001,1010,16
2013,1,1,8,30,132,113,65,0.4,18,73.58,1010,17
2013,1,1,9,30,263,187,176,0.4,19,64.54,1010,18
2013,1,1,10,30,179,176,4,0.5,20,57.69,1010,18
2013,1,1,11,30,461,251,356,0.5,21,53.910000000000004,1010,18
2013,1,1,12,30,332,273,99,0.4,21,53.83,1010,18
2013,1,1,13,30,116,116,0,0.4,21,57.480000000000004,1010,18
2013,1,1,14,30,96,96,0,0.30000000000000004,20,64.21000000000001,1010,19
2013,1,1,15,30,63,63,0,0.30000000000000004,19,73.18,1010,19
2013,1,1,16,30,2,2,0,0.30000000000000004,18,83.66,1010,18
2013,1,1,17,30,0,0,0,0.2,17,95.12,1010,17
